DATE,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE,WEEK
9/9/2021 20:20,at Buccaneers,-9,Cowboys,52.5,341,-439,1
9/13/2021 20:15,Ravens,-3.5,at Raiders,50,-177,147,1
9/12/2021 20:20,at Rams,-9,Bears,46.5,326,-418,1
9/12/2021 16:25,at Chiefs,-5.5,Browns,54.5,197,-240,1
9/12/2021 16:25,at Patriots,-3.5,Dolphins,43.5,153,-184,1
9/12/2021 16:25,Packers,-3.5,at Saints,49,-192,162,1
9/12/2021 16:25,Broncos,-2.5,at Giants,41.5,-142,120,1
9/12/2021 13:00,at Falcons,-3.5,Eagles,48.5,148,-178,1
9/12/2021 13:00,at Bills,-6.5,Steelers,48,231,-282,1
9/12/2021 13:00,Vikings,-3,at Bengals,47.5,-153,128,1
9/12/2021 13:00,49ers,-9.5,at Lions,46,-428,331,1
9/12/2021 13:00,at Titans,-2.5,Cardinals,54,123,-146,1
9/12/2021 13:00,Seahawks,-3,at Colts,48.5,-155,129,1
9/12/2021 13:00,at Football Team,-2,Chargers,45.5,109,-129,1
9/12/2021 13:00,at Panthers,-4,Jets,45,156,-188,1
9/12/2021 13:00,Jaguars,-3.5,at Texans,45.5,-170,142,1
9/20/2021 20:15,at Packers,-11.5,Lions,49.5,439,-591,2
9/19/2021 20:20,Chiefs,-4,at Ravens,53.5,-196,160,2
9/19/2021 16:25,at Chargers,-3,Cowboys,55,133,-158,2
9/19/2021 16:25,at Seahawks,-6.5,Titans,54,225,-281,2
9/19/2021 16:05,at Cardinals,-3.5,Vikings,50.5,163,-194,2
9/19/2021 16:05,at Buccaneers,-13,Falcons,52,543,-756,2
9/19/2021 13:00,at Bears,-1.5,Bengals,44.5,106,-125,2
9/19/2021 13:00,at Browns,-13.5,Texans,48,525,-741,2
9/19/2021 13:00,Rams,-4,at Colts,48.5,-201,169,2
9/19/2021 13:00,Bills,-3.5,at Dolphins,48,-187,156,2
9/19/2021 13:00,Patriots,-5.5,at Jets,43,-237,195,2
9/19/2021 13:00,49ers,-3,at Eagles,49,-149,125,2
9/19/2021 13:00,at Steelers,-5.5,Raiders,46.5,187,-226,2
9/19/2021 13:00,Saints,-3,at Panthers,44.5,-153,130,2
9/19/2021 13:00,Broncos,-6,at Jaguars,45.5,-270,221,2
9/16/2021 20:20,at Football Team,-4.5,Giants,41.5,170,-202,2
9/27/2021 20:15,at Cowboys,-3.5,Eagles,51.5,154,-185,3
9/26/2021 20:20,at 49ers,-3.5,Packers,50.5,148,-176,3
9/26/2021 16:25,Buccaneers,-0.5,at Rams,55,-112,-107,3
9/26/2021 16:25,Seahawks,-2,at Vikings,54,-127,107,3
9/26/2021 16:05,at Broncos,-10,Jets,41.5,434,-585,3
9/26/2021 16:05,at Raiders,-3.5,Dolphins,45,151,-180,3
9/26/2021 13:00,at Bills,-7.5,Football Team,45.5,272,-340,3
9/26/2021 13:00,at Browns,-8,Bears,45,286,-366,3
9/26/2021 13:00,Ravens,-7.5,at Lions,50.5,-387,304,3
9/26/2021 13:00,at Titans,-4.5,Colts,47,179,-218,3
9/26/2021 13:00,at Chiefs,-7,Chargers,54,248,-305,3
9/26/2021 13:00,at Patriots,-3,Saints,43.5,128,-151,3
9/26/2021 13:00,at Giants,-2.5,Falcons,47,123,-144,3
9/26/2021 13:00,at Steelers,-2.5,Bengals,42,117,-137,3
9/26/2021 13:00,Cardinals,-8,at Jaguars,51,-385,304,3
9/23/2021 20:20,Panthers,-8.5,at Texans,43,-402,317,3
9/30/2021 20:20,at Bengals,-7,Jaguars,46,270,-342,4
10/4/2021 20:15,at Chargers,-3.5,Raiders,52,143,-170,4
10/3/2021 20:20,Buccaneers,-6.5,at Patriots,49.5,-289,234,4
10/3/2021 16:25,at Broncos,-1,Ravens,44,-101,-119,4
10/3/2021 16:25,at Packers,-6,Steelers,45.5,215,-266,4
10/3/2021 16:05,at Rams,-3.5,Cardinals,54,172,-206,4
10/3/2021 16:05,at 49ers,-2.5,Seahawks,52,115,-137,4
10/3/2021 13:00,Football Team,-2,at Falcons,47.5,-127,107,4
10/3/2021 13:00,at Bills,-18,Texans,47,937,-1703,4
10/3/2021 13:00,at Bears,-2.5,Lions,41.5,127,-150,4
10/3/2021 13:00,at Cowboys,-4,Panthers,51.5,173,-207,4
10/3/2021 13:00,at Dolphins,-3,Colts,41.5,122,-146,4
10/3/2021 13:00,Browns,-0.5,at Vikings,51.5,-112,-107,4
10/3/2021 13:00,at Saints,-7,Giants,42.5,270,-338,4
10/3/2021 13:00,Titans,-5.5,at Jets,44.5,-267,215,4
10/3/2021 13:00,Chiefs,-7,at Eagles,53.5,-357,278,4
10/7/2021 20:20,Rams,-2.5,at Seahawks,53,-145,124,5
10/11/2021 20:15,at Ravens,-7.5,Colts,46.5,278,-349,5
10/10/2021 9:30,at Falcons,-2.5,Jets,45,122,-144,5
10/10/2021 20:20,at Chiefs,-2.5,Bills,56.5,124,-147,5
10/10/2021 16:25,at Cowboys,-7,Giants,52.5,253,-317,5
10/10/2021 16:25,at Cardinals,-5.5,49ers,48.5,199,-243,5
10/10/2021 16:05,at Raiders,-5,Bears,46,202,-246,5
10/10/2021 16:05,at Chargers,-2.5,Browns,47,114,-135,5
10/10/2021 13:00,Packers,-2.5,at Bengals,50.5,-137,115,5
10/10/2021 13:00,at Vikings,-10,Lions,49.5,334,-429,5
10/10/2021 13:00,Broncos,-2,at Steelers,39.5,-127,107,5
10/10/2021 13:00,at Buccaneers,-11,Dolphins,48,432,-586,5
10/10/2021 13:00,Saints,-2.5,at Football Team,43.5,-141,119,5
10/10/2021 13:00,at Panthers,-2.5,Eagles,46,119,-141,5
10/10/2021 13:00,Titans,-5,at Jaguars,48.5,-201,168,5
10/10/2021 13:00,Patriots,-8,at Texans,39,-377,296,5
10/18/2021 20:15,Bills,-6,at Titans,53.5,-269,220,6
10/17/2021 9:30,Dolphins,-1.5,at Jaguars,47,-128,109,6
10/17/2021 20:20,at Steelers,-5.5,Seahawks,42.5,184,-224,6
10/17/2021 16:25,at Broncos,-5,Raiders,45,175,-209,6
10/17/2021 16:25,Cowboys,-3.5,at Patriots,50.5,-194,162,6
10/17/2021 16:05,at Browns,-3,Cardinals,48.5,131,-156,6
10/17/2021 13:00,Packers,-5.5,at Bears,44,-223,181,6
10/17/2021 13:00,Bengals,-3.5,at Lions,46.5,-190,159,6
10/17/2021 13:00,at Colts,-11.5,Texans,44.5,420,-565,6
10/17/2021 13:00,Rams,-7.5,at Giants,49,-384,300,6
10/17/2021 13:00,Chiefs,-6.5,at Football Team,54,-291,236,6
10/17/2021 13:00,Vikings,-2,at Panthers,45.5,-132,112,6
10/17/2021 13:00,at Ravens,-3,Chargers,51,135,-160,6
10/14/2021 20:20,Buccaneers,-7,at Eagles,52.5,-305,247,6
10/25/2021 20:15,Saints,-5.5,at Seahawks,41.5,-230,191,7
10/24/2021 20:20,at 49ers,-3.5,Colts,41.5,145,-176,7
10/24/2021 16:25,at Cardinals,-19.5,Texans,47.5,1125,-2228,7
10/24/2021 16:25,at Buccaneers,-12,Bears,47,477,-652,7
10/24/2021 16:05,at Raiders,-0.5,Eagles,48,-107,-113,7
10/24/2021 16:05,at Rams,-16.5,Lions,50.5,786,-1253,7
10/24/2021 13:00,at Packers,-8.5,Football Team,48,328,-427,7
10/24/2021 13:00,Chiefs,-4,at Titans,58.5,-200,167,7
10/24/2021 13:00,Falcons,-1.5,at Dolphins,48,-127,106,7
10/24/2021 13:00,at Patriots,-7,Jets,42.5,262,-330,7
10/24/2021 13:00,Panthers,-3,at Giants,43,-152,129,7
10/24/2021 13:00,at Ravens,-6.5,Bengals,45.5,223,-276,7
10/21/2021 20:20,at Browns,-1.5,Broncos,40.5,106,-125,7
10/28/2021 20:20,at Cardinals,-6,Packers,50.5,223,-274,8
10/31/2021 13:00,at Falcons,-3,Panthers,47,142,-169,8
10/31/2021 13:00,at Bills,-14,Dolphins,48.5,622,-915,8
10/31/2021 13:00,49ers,-4,at Bears,39.5,-203,171,8
10/31/2021 13:00,at Browns,-3.5,Steelers,42,162,-193,8
10/31/2021 13:00,Eagles,-3.5,at Lions,48,-181,151,8
10/31/2021 13:00,at Colts,-2.5,Titans,50.5,117,-138,8
10/31/2021 13:00,Bengals,-10,at Jets,43,-535,393,8
10/31/2021 13:00,Rams,-14.5,at Texans,47.5,-980,640,8
10/31/2021 16:05,at Chargers,-4.5,Patriots,49,179,-220,8
10/31/2021 16:05,at Seahawks,-3.5,Jaguars,44,144,-174,8
10/31/2021 16:25,at Broncos,-3,Football Team,44.5,135,-161,8
10/31/2021 16:25,Buccaneers,-5,at Saints,50,-224,185,8
10/31/2021 20:20,at Vikings,-2.5,Cowboys,54,113,-133,8
11/1/2021 20:15,at Chiefs,-9.5,Giants,52,335,-429,8
,,,,,,,
